Codigo de mesa,Partido,Num Votos
05-014-3-001-U,PCAS-TC-RC,0
05-014-3-001-U,FE de las JONS,0
05-014-1-002-U,PSOE,121
05-014-1-002-U,PP,112
05-014-1-002-U,PODEMOS-IU-AV,24
05-014-1-002-U,VOX,16
05-014-1-002-U,XAV,15
05-014-1-002-U,Cs,2
05-014-1-002-U,PACMA,2
05-014-1-002-U,FE de las JONS,2
05-014-1-002-U,PCAS-TC-RC,0
05-014-1-002-U,PYC (ANULADA),0
05-014-2-002-A,PP,186
05-014-2-002-A,PSOE,160
05-014-2-002-A,VOX,78
05-014-2-002-A,XAV,25
05-014-2-002-A,PODEMOS-IU-AV,24
05-014-2-002-A,Cs,23
05-014-2-002-A,PACMA,7
05-014-2-002-A,PCAS-TC-RC,1
05-014-2-002-A,PYC (ANULADA),0
05-014-2-002-A,FE de las JONS,0
05-014-2-002-B,PSOE,169
05-014-2-002-B,PP,169
05-014-2-002-B,VOX,74
05-014-2-002-B,PODEMOS-IU-AV,33
05-014-2-002-B,Cs,16
05-014-2-002-B,XAV,15
05-014-2-002-B,PACMA,8
05-014-2-002-B,PCAS-TC-RC,1
05-014-2-002-B,PYC (ANULADA),0
05-014-2-002-B,FE de las JONS,0
05-015-1-001-U,VOX,13
05-015-1-001-U,PSOE,13
05-015-1-001-U,PP,12
05-015-1-001-U,PODEMOS-IU-AV,3
05-015-1-001-U,XAV,1
05-015-1-001-U,PACMA,0
05-015-1-001-U,FE de las JONS,0
05-015-1-001-U,PYC (ANULADA),0
05-015-1-001-U,Cs,0
05-015-1-001-U,PCAS-TC-RC,0
05-016-1-001-U,PP,169
05-016-1-001-U,PSOE,144
05-016-1-001-U,VOX,95
05-016-1-001-U,XAV,26
05-016-1-001-U,Cs,15
05-016-1-001-U,PODEMOS-IU-AV,9
05-016-1-001-U,PCAS-TC-RC,3
05-016-1-001-U,PACMA,2
05-016-1-001-U,FE de las JONS,1
05-016-1-001-U,PYC (ANULADA),0
05-016-2-001-A,PP,182
05-016-2-001-A,PSOE,107
05-016-2-001-A,VOX,99
05-016-2-001-A,XAV,23
05-016-2-001-A,PODEMOS-IU-AV,18
05-016-2-001-A,Cs,9
05-016-2-001-A,PACMA,5
05-016-2-001-A,FE de las JONS,1
05-016-2-001-A,PCAS-TC-RC,0
05-016-2-001-A,PYC (ANULADA),0
05-016-2-001-B,PP,175
05-016-2-001-B,VOX,87
05-016-2-001-B,PSOE,83
05-016-2-001-B,XAV,27
05-016-2-001-B,Cs,11
05-016-2-001-B,PODEMOS-IU-AV,8
05-016-2-001-B,PACMA,3
05-016-2-001-B,PCAS-TC-RC,0
05-016-2-001-B,FE de las JONS,0
05-016-2-001-B,PYC (ANULADA),0
05-016-2-002-U,PP,234
05-016-2-002-U,PSOE,141
05-016-2-002-U,VOX,128
05-016-2-002-U,XAV,32
05-016-2-002-U,Cs,16
05-016-2-002-U,PODEMOS-IU-AV,13
05-016-2-002-U,PCAS-TC-RC,1
05-016-2-002-U,PACMA,1
05-016-2-002-U,FE de las JONS,0
05-016-2-002-U,PYC (ANULADA),0
05-016-2-003-A,PP,161
05-016-2-003-A,VOX,113
05-016-2-003-A,PSOE,104
05-016-2-003-A,XAV,37
05-016-2-003-A,Cs,13
05-016-2-003-A,PODEMOS-IU-AV,8
05-016-2-003-A,PACMA,2
05-016-2-003-A,PCAS-TC-RC,1
05-016-2-003-A,FE de las JONS,0
05-016-2-003-A,PYC (ANULADA),0
05-016-2-003-B,PP,179
05-016-2-003-B,PSOE,88
05-016-2-003-B,VOX,66
05-016-2-003-B,XAV,32
05-016-2-003-B,PODEMOS-IU-AV,9
05-016-2-003-B,Cs,6
05-016-2-003-B,PACMA,4
05-016-2-003-B,PCAS-TC-RC,0
05-016-2-003-B,PYC (ANULADA),0
05-016-2-003-B,FE de las JONS,0
05-016-2-004-U,PP,225
05-016-2-004-U,VOX,123
05-016-2-004-U,PSOE,103
05-016-2-004-U,XAV,45
05-016-2-004-U,PODEMOS-IU-AV,15
05-016-2-004-U,Cs,14
05-016-2-004-U,PACMA,6
05-016-2-004-U,FE de las JONS,1
05-016-2-004-U,PYC (ANULADA),0
05-016-2-004-U,PCAS-TC-RC,0
05-016-2-005-U,PP,278
05-016-2-005-U,VOX,173
05-016-2-005-U,PSOE,172
05-016-2-005-U,XAV,63
05-016-2-005-U,PODEMOS-IU-AV,27
05-016-2-005-U,Cs,17
05-016-2-005-U,PACMA,3
05-016-2-005-U,PCAS-TC-RC,1
05-016-2-005-U,PYC (ANULADA),0
05-016-2-005-U,FE de las JONS,0
05-017-1-001-U,PP,32
05-017-1-001-U,PSOE,11
05-017-1-001-U,XAV,9
05-017-1-001-U,VOX,7
05-017-1-001-U,PODEMOS-IU-AV,4
05-017-1-001-U,PACMA,0
05-017-1-001-U,FE de las JONS,0
05-017-1-001-U,PCAS-TC-RC,0
05-017-1-001-U,Cs,0
05-017-1-001-U,PYC (ANULADA),0
05-018-1-001-U,PSOE,9
05-018-1-001-U,PP,6
05-018-1-001-U,PODEMOS-IU-AV,1
05-018-1-001-U,VOX,1
05-018-1-001-U,FE de las JONS,0
05-018-1-001-U,Cs,0
05-018-1-001-U,XAV,0
